state,district,market,commodity,variety,min_price,max_price,modal_price
Assam,Jorhat,Jorhat,Wheat Atta,Wheat Atta,2600,3200,2800
Assam,Kamrup,Pamohi(Garchuk),Bitter gourd,Bitter Gourd,5000,6000,5500
Assam,Kamrup,Pamohi(Garchuk),Brinjal,Brinjal,1200,1400,1300
Assam,Kamrup,Pamohi(Garchuk),Cabbage,Cabbage,300,600,500
Assam,Kamrup,Pamohi(Garchuk),Carrot,Carrot,700,1200,1000
Assam,Kamrup,Pamohi(Garchuk),Cauliflower,Cauliflower,1800,2000,1900
Assam,Kamrup,Pamohi(Garchuk),Cucumbar(Kheera),Cucumbar,1600,2200,2000
Assam,Kamrup,Pamohi(Garchuk),Garlic,Garlic,4000,5000,4500
Assam,Kamrup,Pamohi(Garchuk),Green Chilli,Green Chilly,1500,3000,1600
Assam,Kamrup,Pamohi(Garchuk),Onion,Onion,950,1150,1100
Assam,Kamrup,Pamohi(Garchuk),Potato,Potato,600,750,700
Assam,Kamrup,Pamohi(Garchuk),Pumpkin,Pumpkin,800,1000,900
Assam,Kamrup,Pamohi(Garchuk),Raddish,Raddish,1000,1200,1100
Assam,Kamrup,Pamohi(Garchuk),Ridgeguard(Tori),Ridgeguard(Tori),4000,4200,4100
Assam,Kamrup,Pamohi(Garchuk),Tomato,Tomato,1400,1500,1450
Assam,Sonitpur,Dhekiajuli,Arecanut(Betelnut/Supari),Raw,2000,2200,2200
Assam,Sonitpur,Dhekiajuli,Arhar (Tur/Red Gram)(Whole),Other,5700,5850,5850
Assam,Sonitpur,Dhekiajuli,Brinjal,Other,700,750,750
Assam,Sonitpur,Dhekiajuli,Cabbage,Other,650,700,700
Assam,Sonitpur,Dhekiajuli,Green Chilli,Green Chilly,1800,2000,2000
Assam,Sonitpur,Dhekiajuli,Jute,TD-5,3600,3900,3900
Assam,Sonitpur,Dhekiajuli,Maize,Other,1700,1800,1800
Assam,Sonitpur,Dhekiajuli,Mustard,Other,4000,4100,4100
Assam,Sonitpur,Dhekiajuli,Rice,Common,2200,2500,2400
Assam,Sonitpur,Dhekiajuli,Rice,Fine,2700,2900,2800
Chattisgarh,Bastar,Jagdalpur,Dry Chillies,Dry,4000,4410,4200
Chattisgarh,Kanker,Charama,Paddy(Dhan)(Common),Other,1500,1500,1500
Chattisgarh,Kanker,Lakhanpuri,Paddy(Dhan)(Common),Other,1500,1500,1500
Chattisgarh,Kanker,Narharpur,Paddy(Dhan)(Common),Other,1500,1500,1500
Chattisgarh,Surajpur,Pratappur,Groundnut,Other,4900,4900,4900
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),Red,19000,20000,19500
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),Supari,21500,23000,22250
Goa,North Goa,Sanquelim,Arecanut(Betelnut/Supari),White,20000,21000,20500
Gujarat,Amreli,Damnagar,Bhindi(Ladies Finger),Bhindi,1450,1650,1550
Gujarat,Amreli,Damnagar,Brinjal,Other,1000,1200,1100
Gujarat,Amreli,Damnagar,Capsicum,Capsicum,1200,1400,1300
Gujarat,Amreli,Damnagar,Guar,Gwar,1500,1700,1600
Gujarat,Amreli,Damnagar,Lemon,Lemon,1200,1400,1300
Gujarat,Anand,Khambhat(Grain Market),Bajra(Pearl Millet/Cumbu),Other,2040,2120,2080
Gujarat,Anand,Umreth,Bajra(Pearl Millet/Cumbu),Deshi,1950,2025,2015
Gujarat,Anand,Umreth,Castor Seed,Castor seed,4800,4950,4870
Gujarat,Bharuch,Ankleshwar,Bhindi(Ladies Finger),Bhindi,2750,3650,3425
Gujarat,Bharuch,Ankleshwar,Bottle gourd,Bottle Gourd,1400,2100,1850
Gujarat,Bharuch,Ankleshwar,Brinjal,Round,425,875,650
Gujarat,Bharuch,Ankleshwar,Cabbage,Cabbage,750,1000,925
Gujarat,Bharuch,Ankleshwar,Capsicum,Capsicum,2150,3000,2600
Gujarat,Bharuch,Ankleshwar,Carrot,Carrot,650,875,825
Gujarat,Bharuch,Ankleshwar,Cauliflower,Local,650,1500,1100
Gujarat,Bharuch,Ankleshwar,Coriander(Leaves),Coriander,550,1000,825
Gujarat,Bharuch,Ankleshwar,Cowpea(Veg),Cowpea (Veg),2750,3650,3425
Gujarat,Bharuch,Ankleshwar,Cucumbar(Kheera),Cucumbar,1500,2400,2175
Gujarat,Bharuch,Ankleshwar,Drumstick,Drumstick,2800,3700,3475
Gujarat,Bharuch,Ankleshwar,Elephant Yam (Suran),Elephant Yam (Suran),2150,3000,2825
Gujarat,Bharuch,Ankleshwar,Ginger(Green),Green Ginger,5450,6350,6100
Gujarat,Bharuch,Ankleshwar,Green Chilli,Green Chilly,2600,3300,3000
Gujarat,Bharuch,Ankleshwar,Indian Beans (Seam),Indian Beans (Seam),1000,1700,1450
Gujarat,Bharuch,Ankleshwar,Lemon,Lemon,3250,3950,3700
Gujarat,Bharuch,Ankleshwar,Methi(Leaves),Methi,600,1000,825
Gujarat,Bharuch,Ankleshwar,Onion Green,Onion Green,1000,1400,1225
Gujarat,Bharuch,Ankleshwar,Peas cod,Peas cod,1100,1500,1325
Gujarat,Bharuch,Ankleshwar,Pegeon Pea (Arhar Fali),Pigeon Pea (Arhar Fali),2750,3650,3475
Gujarat,Bharuch,Ankleshwar,Sponge gourd,Sponge gourd,1325,1725,1500
Gujarat,Bharuch,Ankleshwar,Surat Beans (Papadi),Surat Beans (Papadi),2225,2625,2450
Gujarat,Bharuch,Ankleshwar,Sweet Potato,Sweet Potato,2225,3125,2900
Gujarat,Bharuch,Ankleshwar,Tinda,Tinda,2750,3450,3150
Gujarat,Bharuch,Ankleshwar,Tomato,Tomato,750,1650,1425
Gujarat,Kachchh,Bachau,Guar Seed(Cluster Beans Seed),Whole,4000,4025,4010
Gujarat,Kheda,Nadiyad(Chaklasi),Potato,Potato,600,800,700
Gujarat,Kheda,Nadiyad(Chaklasi),Sweet Potato,Sweet Potato,1250,1650,1450
Gujarat,Panchmahals,Gogamba,Arhar (Tur/Red Gram)(Whole),Other,4800,4900,4850
Gujarat,Panchmahals,Gogamba,Cotton,Other,4500,4600,4550
Gujarat,Panchmahals,Gogamba,Maize,Deshi White,1850,1950,1900
Gujarat,Panchmahals,Gogamba,Paddy(Dhan)(Common),G. R. 11,1500,1550,1525
Gujarat,Panchmahals,Gogamba,Wheat,Other,1850,1950,1900
Gujarat,Panchmahals,Gogamba(Similiya),Bajra(Pearl Millet/Cumbu),Other,1750,1850,1800
Gujarat,Panchmahals,Gogamba(Similiya),Maize,Deshi White,1800,1900,1850
Gujarat,Panchmahals,Gogamba(Similiya),Paddy(Dhan)(Common),Other,1400,1450,1425
Gujarat,Surat,Bardoli(Katod),Brinjal,Other,600,1400,1150
Gujarat,Surat,Bardoli(Katod),Cabbage,Other,700,1250,1100
Gujarat,Surat,Bardoli(Katod),Tomato,Other,700,1600,1300
Gujarat,Surat,Mandvi,Bhindi(Ladies Finger),Other,3755,3755,3755
Gujarat,Surat,Mandvi,Brinjal,Other,600,1765,1182
Gujarat,Surat,Mandvi,Cowpea(Veg),Other,1900,3955,2927
Gujarat,Surat,Mandvi,Paddy(Dhan)(Common),Other,1450,1500,1475
Gujarat,Surat,Mandvi,Pegeon Pea (Arhar Fali),Other,2010,4000,3005
Gujarat,Surat,Mandvi,Surat Beans (Papadi),Other,2300,3995,3147
Gujarat,Surat,Mandvi,Tomato,Other,670,2105,1387
Gujarat,Surat,S.Mandvi,Bhindi(Ladies Finger),Other,3755,3755,3755
Gujarat,Surat,S.Mandvi,Brinjal,Other,600,1765,1182
Gujarat,Surat,S.Mandvi,Cowpea(Veg),Other,1900,3955,2927
Gujarat,Surat,S.Mandvi,Paddy(Dhan)(Common),Other,1450,1500,1475
Gujarat,Surat,S.Mandvi,Pegeon Pea (Arhar Fali),Other,2010,4000,3005
Gujarat,Surat,S.Mandvi,Surat Beans (Papadi),Other,2300,3995,3147
Gujarat,Surat,S.Mandvi,Tomato,Other,670,2105,1387
Gujarat,Surat,Vyra,Bitter gourd,Bitter Gourd,4800,5250,5025
Gujarat,Surat,Vyra,Bottle gourd,Other,800,1300,1050
Gujarat,Surat,Vyra,Brinjal,Brinjal,500,800,650
Gujarat,Surat,Vyra,Cabbage,Other,800,1100,950
Gujarat,Surat,Vyra,Cauliflower,Other,2000,2500,2250
Gujarat,Surat,Vyra,Cucumbar(Kheera),Other,2250,2750,2500
Gujarat,Surat,Vyra,Gram Raw(Chholia),Other,1750,2250,2000
Gujarat,Surat,Vyra,Guar,Other,4500,6000,5200
Gujarat,Surat,Vyra,Little gourd (Kundru),Other,3250,3500,3350
Gujarat,Surat,Vyra,Paddy(Dhan)(Common),Sabnam,1665,1730,1697
Gujarat,Surat,Vyra,Pegeon Pea (Arhar Fali),Other,2750,3000,2850
Gujarat,Surat,Vyra,Ridgeguard(Tori),Other,2500,3000,2750
Gujarat,Surat,Vyra,Round gourd,Other,1300,1500,1400
Gujarat,Surat,Vyra,Tomato,Other,1100,1500,1300
Gujarat,Vadodara(Baroda),Bodeli,Cotton,Shanker 6 (B) 30mm FIne,5301,5520,5400
Gujarat,Vadodara(Baroda),Bodeli(Hadod),Cotton,Shanker 6 (B) 30mm FIne,5301,5514,5400
Gujarat,Vadodara(Baroda),Bodeli(Kalediya),Cotton,Shanker 6 (B) 30mm FIne,5301,5517,5400
Gujarat,Vadodara(Baroda),Bodeli(Modasar),Cotton,Shanker 6 (B) 30mm FIne,5301,5519,5400
Gujarat,Vadodara(Baroda),Padra,Bhindi(Ladies Finger),Other,3500,4000,3800
Gujarat,Vadodara(Baroda),Padra,Bitter gourd,Other,3500,4000,3800
Gujarat,Vadodara(Baroda),Padra,Bottle gourd,Other,1500,2000,1750
Gujarat,Vadodara(Baroda),Padra,Brinjal,Other,400,1000,750
Gujarat,Vadodara(Baroda),Padra,Carrot,Other,750,1000,850
Gujarat,Vadodara(Baroda),Padra,Cauliflower,Other,1000,1300,1250
Gujarat,Vadodara(Baroda),Padra,Coriander(Leaves),Other,2500,3500,3000
Gujarat,Vadodara(Baroda),Padra,Cowpea(Veg),Other,3000,3500,3300
Gujarat,Vadodara(Baroda),Padra,Cucumbar(Kheera),Other,1250,2500,1750
Gujarat,Vadodara(Baroda),Padra,Drumstick,Other,1250,1750,1400
Gujarat,Vadodara(Baroda),Padra,Elephant Yam (Suran),Other,1500,1750,1650
Gujarat,Vadodara(Baroda),Padra,Ginger(Green),Other,6000,6500,6300
Gujarat,Vadodara(Baroda),Padra,Green Chilli,Green Chilly,2750,3500,3000
Gujarat,Vadodara(Baroda),Padra,Indian Beans (Seam),Other,2000,2250,2100
Gujarat,Vadodara(Baroda),Padra,Leafy Vegetable,Leafy Vegetables,500,1000,750
Gujarat,Vadodara(Baroda),Padra,Lemon,Other,3500,5000,4150
Gujarat,Vadodara(Baroda),Padra,Methi(Leaves),Other,700,1000,850
Gujarat,Vadodara(Baroda),Padra,Mint(Pudina),Other,1000,1500,1300
Gujarat,Vadodara(Baroda),Padra,Onion,Other,500,700,600
Gujarat,Vadodara(Baroda),Padra,Papaya (Raw),Other,700,1000,850
Gujarat,Vadodara(Baroda),Padra,Peas cod,Other,1500,1750,1600
Gujarat,Vadodara(Baroda),Padra,Pegeon Pea (Arhar Fali),Other,2500,3500,3000
Gujarat,Vadodara(Baroda),Padra,Potato,Other,600,750,700
Gujarat,Vadodara(Baroda),Padra,Pumpkin,Other,500,2000,950
Gujarat,Vadodara(Baroda),Padra,Raddish,Other,800,1000,850
Gujarat,Vadodara(Baroda),Padra,Spinach,Other,450,500,475
Gujarat,Vadodara(Baroda),Padra,Sponge gourd,Other,1750,2250,1950
Gujarat,Vadodara(Baroda),Padra,Surat Beans (Papadi),Other,2000,3000,2500
Gujarat,Vadodara(Baroda),Padra,Sweet Potato,Other,1500,2000,1700
Gujarat,Vadodara(Baroda),Padra,Tomato,Other,1200,1500,1350
Gujarat,Valsad,Chikli(Khorgam),Bitter gourd,Other,5500,6250,5875
Gujarat,Valsad,Chikli(Khorgam),Bottle gourd,Other,1250,1500,1375
Gujarat,Valsad,Chikli(Khorgam),Pointed gourd (Parval),Other,5000,5500,5250
Gujarat,Valsad,Chikli(Khorgam),Tinda,Other,2750,3000,2875
Haryana,Ambala,Shahzadpur,Banana,Other,3000,3000,3000
Haryana,Ambala,Shahzadpur,Ber(Zizyphus/Borehannu),Ber(Zizyphus),2000,4000,3000
Haryana,Ambala,Shahzadpur,Carrot,Carrot,700,700,700
Haryana,Ambala,Shahzadpur,Coriander(Leaves),Coriander,1000,1805,1805
Haryana,Ambala,Shahzadpur,Garlic,Desi,3000,3000,3000
Haryana,Ambala,Shahzadpur,Ginger(Green),Green Ginger,8000,8000,8000
Haryana,Ambala,Shahzadpur,Grapes,Green,4000,4000,4000
Haryana,Ambala,Shahzadpur,Green Chilli,Green Chilly,4500,5200,5000
Haryana,Ambala,Shahzadpur,Kinnow,Other,1200,2000,1500
Haryana,Ambala,Shahzadpur,Leafy Vegetable,Leafy Vegetables,1000,1000,1000
Haryana,Ambala,Shahzadpur,Methi(Leaves),Methi,1200,1500,1410
Haryana,Ambala,Shahzadpur,Peas Wet,Peas Wet,1000,1400,1200
Haryana,Ambala,Shahzadpur,Potato,Local,325,350,325
Haryana,Ambala,Shahzadpur,Raddish,Raddish,500,600,600
Haryana,Ambala,Shahzadpur,Spinach,Spinach,600,715,715
Haryana,Faridabad,Faridabad,Apple,Other,4000,6000,5000
Haryana,Faridabad,Faridabad,Cabbage,Other,400,500,450
Haryana,Faridabad,Faridabad,Carrot,Other,400,500,450
Haryana,Faridabad,Faridabad,Cauliflower,Cauliflower,1500,2500,2000
Haryana,Faridabad,Faridabad,Grapes,Other,3000,5000,4000
Haryana,Faridabad,Faridabad,Green Chilli,Other,2800,3000,2900
Haryana,Faridabad,Faridabad,Kinnow,Kinnow,1000,1500,1250
Haryana,Faridabad,Faridabad,Orange,Other,1500,2500,2000
Haryana,Faridabad,Faridabad,Peas Wet,Other,800,1000,900
Haryana,Faridabad,Faridabad,Pomegranate,Other,3000,6000,4500
Haryana,Faridabad,Faridabad,Potato,Other,500,600,550
Haryana,Faridabad,Faridabad,Raddish,Other,800,1000,900
Haryana,Faridabad,Faridabad,Tomato,Other,1500,2000,1750
Haryana,Gurgaon,Pataudi,Banana,Other,3000,3000,3000
Haryana,Gurgaon,Pataudi,Bottle gourd,Other,2700,2700,2700
Haryana,Gurgaon,Pataudi,Cabbage,Other,500,600,550
Haryana,Gurgaon,Pataudi,Carrot,Other,300,500,400
Haryana,Gurgaon,Pataudi,Cauliflower,Other,1400,1500,1450
Haryana,Gurgaon,Pataudi,Cucumbar(Kheera),Other,1400,1400,1400
Haryana,Gurgaon,Pataudi,Grapes,Other,3000,4000,3500
Haryana,Gurgaon,Pataudi,Onion,Other,800,1200,1000
Haryana,Gurgaon,Pataudi,Orange,Other,1400,3000,2200
Haryana,Gurgaon,Pataudi,Papaya,Other,1500,1800,1650
Haryana,Gurgaon,Pataudi,Peas Wet,Other,1000,2000,1500
Haryana,Gurgaon,Pataudi,Pomegranate,Other,3500,5000,4250
Haryana,Gurgaon,Pataudi,Potato,Other,600,700,650
Haryana,Gurgaon,Pataudi,Raddish,Other,500,1000,750
Haryana,Gurgaon,Pataudi,Spinach,Other,500,1000,750
Haryana,Gurgaon,Pataudi,Tinda,Other,1500,1600,1550
Haryana,Gurgaon,Pataudi,Tomato,Other,1200,1800,1500
Haryana,Kurukshetra,Pipli,Potato,Badshah,100,400,296
Haryana,Mewat,Taura,Apple,Other,8000,8000,8000
Haryana,Mewat,Taura,Banana,Other,2000,2000,2000
Haryana,Mewat,Taura,Ber(Zizyphus/Borehannu),Other,1200,1300,1300
Haryana,Mewat,Taura,Bhindi(Ladies Finger),Bhindi,6000,6000,6000
Haryana,Mewat,Taura,Carrot,Carrot,600,700,700
Haryana,Mewat,Taura,Chikoos(Sapota),Other,3000,3500,3500
Haryana,Mewat,Taura,Cucumbar(Kheera),Other,3000,3000,3000
Haryana,Mewat,Taura,Ginger(Green),Other,9000,9000,9000
Haryana,Mewat,Taura,Grapes,Other,3000,3000,3000
Haryana,Mewat,Taura,Kinnow,Other,1500,1500,1500
Haryana,Mewat,Taura,Orange,Other,3000,3000,3000
Haryana,Mewat,Taura,Pomegranate,Other,5000,5000,5000
Haryana,Mewat,Taura,Potato,Potato,700,700,700
Haryana,Mewat,Taura,Raddish,Other,800,800,800
Haryana,Mewat,Taura,Tomato,Tomato,1500,1500,1500
Haryana,Panipat,Madlauda,Cauliflower,Cauliflower,800,800,800
Haryana,Panipat,Madlauda,Onion,Other,1500,1500,1500
Haryana,Panipat,Madlauda,Potato,Other,1000,1000,1000
Haryana,Panipat,Madlauda,Tomato,Other,1500,1500,1500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Apple,Apple,7000,7500,7500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Bottle gourd,Bottle Gourd,2600,3000,2800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Brinjal,Brinjal,2400,2600,2500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Cabbage,Cabbage,700,900,800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Capsicum,Capsicum,4500,5000,4800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Carrot,Carrot,900,1000,1000
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Cauliflower,Cauliflower,900,1100,1000
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Coriander(Leaves),Coriander,2500,2500,2500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Kinnow,Kinnow,2000,2400,2200
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Peas Wet,Peas Wet,1700,1800,1800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Pomegranate,Other,7500,7500,7500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Potato,Potato,700,800,800
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Raddish,Raddish,0,700,600
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Spinach,Other,1400,0,1500
Himachal Pradesh,Kangra,Kangra(Jaisinghpur),Tomato,Tomato,1800,2200,2000
Himachal Pradesh,Kangra,Kangra(Jassour),Apple,Other,4000,6000,5000
Himachal Pradesh,Kangra,Kangra(Jassour),Banana,Other,2300,2500,2400
Himachal Pradesh,Kangra,Kangra(Jassour),Bhindi(Ladies Finger),Other,4000,4500,4250
Himachal Pradesh,Kangra,Kangra(Jassour),Bottle gourd,Other,2000,2500,2250
Himachal Pradesh,Kangra,Kangra(Jassour),Brinjal,Other,1200,1500,1350
Himachal Pradesh,Kangra,Kangra(Jassour),Cabbage,Other,400,500,450
Himachal Pradesh,Kangra,Kangra(Jassour),Capsicum,Other,4000,4500,4250
Himachal Pradesh,Kangra,Kangra(Jassour),Carrot,Other,600,700,650
Himachal Pradesh,Kangra,Kangra(Jassour),Cauliflower,Other,1200,1500,1350
Himachal Pradesh,Kangra,Kangra(Jassour),Coriander(Leaves),Other,1200,1500,1350
Himachal Pradesh,Kangra,Kangra(Jassour),French Beans (Frasbean),Other,3800,4000,3900
Himachal Pradesh,Kangra,Kangra(Jassour),Ginger(Green),Other,8500,9000,8750
Himachal Pradesh,Kangra,Kangra(Jassour),Grapes,Other,4000,5000,4250
Himachal Pradesh,Kangra,Kangra(Jassour),Green Chilli,Other,6000,6500,6250
Himachal Pradesh,Kangra,Kangra(Jassour),Kinnow,Other,1500,1700,1600
Himachal Pradesh,Kangra,Kangra(Jassour),Lemon,Other,3800,4000,3900
Himachal Pradesh,Kangra,Kangra(Jassour),Mashrooms,Other,9000,10000,9500
Himachal Pradesh,Kangra,Kangra(Jassour),Methi(Leaves),Other,900,1000,950
Himachal Pradesh,Kangra,Kangra(Jassour),Mousambi(Sweet Lime),Other,3500,4000,3750
Himachal Pradesh,Kangra,Kangra(Jassour),Onion,Other,700,800,750
Himachal Pradesh,Kangra,Kangra(Jassour),Orange,Other,3000,3500,3250
Himachal Pradesh,Kangra,Kangra(Jassour),Papaya,Other,2000,2500,2250
Himachal Pradesh,Kangra,Kangra(Jassour),Peas cod,Other,1600,1700,1650
Himachal Pradesh,Kangra,Kangra(Jassour),Pineapple,Other,2000,2500,2250
Himachal Pradesh,Kangra,Kangra(Jassour),Pomegranate,Other,4000,4500,4250
Himachal Pradesh,Kangra,Kangra(Jassour),Potato,Other,700,800,750
Himachal Pradesh,Kangra,Kangra(Jassour),Raddish,Other,500,600,550
Himachal Pradesh,Kangra,Kangra(Jassour),Spinach,Other,900,1000,950
Himachal Pradesh,Kangra,Kangra(Jassour),Tomato,Other,2200,2500,2350
Himachal Pradesh,Kangra,Palampur,Apple,Apple,7500,8000,8000
Himachal Pradesh,Kangra,Palampur,Ber(Zizyphus/Borehannu),Other,2400,2500,2500
Himachal Pradesh,Kangra,Palampur,Bhindi(Ladies Finger),Other,6000,6500,6500
Himachal Pradesh,Kangra,Palampur,Bottle gourd,Bottle Gourd,2800,3000,3000
Himachal Pradesh,Kangra,Palampur,Brinjal,Other,2500,2500,2500
Himachal Pradesh,Kangra,Palampur,Cabbage,Cabbage,800,900,900
Himachal Pradesh,Kangra,Palampur,Capsicum,Capsicum,4500,4800,4500
Himachal Pradesh,Kangra,Palampur,Carrot,Carrot,800,900,900
Himachal Pradesh,Kangra,Palampur,Cauliflower,Cauliflower,1000,1100,1100
Himachal Pradesh,Kangra,Palampur,Cucumbar(Kheera),Other,5000,5500,5500
Himachal Pradesh,Kangra,Palampur,French Beans (Frasbean),Other,5000,6000,5500
Himachal Pradesh,Kangra,Palampur,Ginger(Green),Other,8000,9000,9000
Himachal Pradesh,Kangra,Palampur,Grapes,Other,6500,7000,7000
Himachal Pradesh,Kangra,Palampur,Green Chilli,Green Chilly,4500,5000,5000
Himachal Pradesh,Kangra,Palampur,Guava,Other,4000,5000,4500
Himachal Pradesh,Kangra,Palampur,Kinnow,Other,2000,2400,2200
Himachal Pradesh,Kangra,Palampur,Lemon,Other,5000,0,5500
Himachal Pradesh,Kangra,Palampur,Mashrooms,Other,15000,20000,20000
Himachal Pradesh,Kangra,Palampur,Mousambi(Sweet Lime),Other,5000,0,5500
Himachal Pradesh,Kangra,Palampur,Onion,Other,1000,1100,1100
Himachal Pradesh,Kangra,Palampur,Orange,Other,4000,4500,4500
Himachal Pradesh,Kangra,Palampur,Papaya,Other,2400,2600,2500
Himachal Pradesh,Kangra,Palampur,Peas Wet,Other,1700,1800,1800
Himachal Pradesh,Kangra,Palampur,Pineapple,Other,3500,4000,4000
Himachal Pradesh,Kangra,Palampur,Pomegranate,Other,7000,7500,7500
Himachal Pradesh,Kangra,Palampur,Potato,Other,700,800,800
Himachal Pradesh,Kangra,Palampur,Pumpkin,Other,1600,1800,1700
Himachal Pradesh,Kangra,Palampur,Raddish,Raddish,700,800,800
Himachal Pradesh,Kangra,Palampur,Spinach,Spinach,1600,1800,1700
Himachal Pradesh,Kangra,Palampur,Tomato,Tomato,2000,2200,2200
Himachal Pradesh,Kangra,Palampur,Turnip,Other,1000,1200,1200
Himachal Pradesh,Kullu,Bhuntar,Banana,Other,2340,2400,2370
Himachal Pradesh,Kullu,Bhuntar,Bhindi(Ladies Finger),Other,5500,5800,5650
Himachal Pradesh,Kullu,Bhuntar,Bottle gourd,Other,2500,2700,2600
